exp,kind,pred_idx,type,duration_s,status,matched_gt_idx,matched_gt_dh,pred_dh,pred_ci,pred_accepted,baro_dh
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,8,up,7.7441034482759505,clean,8,8.1724,8.087215064058968,0.7948667269984572,True,8.116276075579762
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,9,up,7.463103448275888,clean,9,7.48,7.141588436663211,1.1494078599989066,True,7.672078029624728
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,10,up,5.570068965517294,clean,10,3.7399999999999984,3.704809958220028,0.7873372494202983,True,3.6829628221249777
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,11,up,7.483103448275983,clean,11,7.48,7.115243019286442,1.1469971775694217,True,7.180408311620056
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,12,up,9.20189655172419,clean,12,11.220000000000002,11.133377865202167,1.0672253108020557,True,10.994475168626536
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,13,up,7.442103448275702,clean,13,7.479999999999997,7.106217521383761,1.144756096530854,True,6.72170186460437
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,14,up,5.85527586206922,clean,14,3.740000000000002,4.196584394361519,0.8393515526178955,True,4.2984970481444265
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,15,down,4.2552068965517265,fp,-1,,-0.012652632138879074,0.7555687478398343,False,-10.240792635291044
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,16,up,16.36062068965498,entangled,18,-19.7414,12.026122635280522,2.6383618925711207,False,-1.5047386135234433
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,17,up,7.464103448275637,clean,20,7.48,7.120543248308542,1.1464510233609266,True,7.347923497282636
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,18,up,5.56906896551709,clean,21,3.7399999999999984,3.7056465000482373,0.7886385404533338,True,3.643297605436132
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,19,up,13.092896551724152,clean,22,18.7,18.705261165412505,1.6963977675638326,True,19.296567969078183
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,20,up,7.423103448275697,clean,23,7.740000000000002,7.130986633618727,1.1450322609270485,True,7.507747950006745
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,21,up,5.835275862069011,clean,24,3.75,4.196193899073149,0.8394131120503202,True,4.248221353098344
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,22,down,15.178896551724165,clean,25,-22.71,-22.669188639631948,2.066722783061769,True,-22.88917866183833
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,23,down,17.244896551724196,clean,26,-26.18,-26.86839133360396,2.4230432825333335,True,-27.475807915483642
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,24,up,28.556896551724094,clean,27,48.89,45.86154882696,4.154050819977558,False,50.713682642610095
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,25,down,28.696896551724194,clean,28,-48.89,-49.389558772968805,4.428305220888518,True,-50.13715188992062
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,0,up,28.571896551724194,clean,0,49.0667,50.13096532706365,4.431684524654608,True,50.169390369066804
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,1,down,7.771310344827498,clean,1,-7.479999999999997,-7.62144575577927,1.1792177052949262,True,-7.7641455489585525
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,2,down,9.450103448275968,clean,2,-11.2143,-11.290066574450494,1.0739201589965794,True,-11.350363160779963
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,3,down,5.580068965517398,clean,3,-3.7399999999999984,-3.7897263046892267,0.800896304936157,True,-3.9943572001963616
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,4,down,7.472103448276016,clean,4,-7.48,-7.198963207224589,1.1622311472571354,True,-7.289337085988905
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,5,down,5.562068965517369,clean,5,-3.7399999999999984,-3.785318069564677,0.8003875355907454,True,-3.706016519277725
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,6,down,8.960103448275845,clean,6,-10.3703,-10.435202833504164,0.9730765092209803,True,-10.377884856349056
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,7,down,6.553689655172434,clean,7,-5.3634,-5.603448428396804,0.9944912712996034,True,-5.446268037856157
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,8,up,7.774103448275923,clean,8,8.1724,8.28285173991287,0.8038063688991602,True,8.249537390407397
UriyaCohenEliya_beitYitzchakiRaanana_SamsungSM-A235F_15-04-2026_exp6,test,9,up,7.453103448276011,clean,9,7.48,7.226374864205555,1.1625121507302822,True,7.580961345735517
